cyclone,canal,fichier,lat_centre,lon_centre,sar_acquisition_time,sar_xy,sar_inter,sar_path
al182024,IRWIN,rcm2-sclnc-owi-cm-20241104t232437-20241104t232553-00003-______ll_gd_GEO-IRWIN.nc,15.4581184387207,283.384216308594,"2024-11-04T23:24:37,000",/scale/user/mtannaou/alternance/donnees_sar_changes/rcm2-sclnc-owi-cm-20241104t232437-20241104t232553-00003-xxxxx_aeqd.nc,rcm2-sclnc-owi-cm-20241104t232437-20241104t232553-00003-xxxxx.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/rcm-2/L2M/sclnc/rcm-2_sclnc/2024/309/RCM2_OK3345238_PK3347694_1_SCLNC_20241104_232439_VV_VH_GRD/rcm2-sclnc-owi-cm-20241104t232437-20241104t232553-00003-xxxxx.nc
al182024,IRWIN,rcm2-sclnb-owi-cm-20241107t235027-20241107t235144-00003-______ll_gd_GEO-IRWIN.nc,24.6354103088379,273.730773925781,"2024-11-07T23:50:27,000",/scale/user/mtannaou/alternance/donnees_sar_changes/rcm2-sclnb-owi-cm-20241107t235027-20241107t235144-00003-xxxxx_aeqd.nc,rcm2-sclnb-owi-cm-20241107t235027-20241107t235144-00003-xxxxx.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/rcm-2/L2M/sclnb/rcm-2_sclnb/2024/312/RCM2_OK3348677_PK3352104_1_SCLNB_20241107_235027_VV_VH_GRD/rcm2-sclnb-owi-cm-20241107t235027-20241107t235144-00003-xxxxx.nc
al182024,IRWIN,rcm2-sclnd-owi-cm-20241109t114945-20241109t115105-00003-______ll_gd_GEO-IRWIN.nc,24.9167366027832,269.002044677734,"2024-11-09T11:49:45,000",/scale/user/mtannaou/alternance/donnees_sar_changes/rcm2-sclnd-owi-cm-20241109t114945-20241109t115105-00003-xxxxx_aeqd.nc,rcm2-sclnd-owi-cm-20241109t114945-20241109t115105-00003-xxxxx.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/rcm-2/L2M/sclnd/rcm-2_sclnd/2024/314/RCM2_OK3351744_PK3358566_1_SCLND_20241109_114958_VV_VH_GRD/rcm2-sclnd-owi-cm-20241109t114945-20241109t115105-00003-xxxxx.nc
al182024,IRWIN,rcm2-sclnc-owi-cm-20241105t233306-20241105t233329-00003-______ll_gd_GEO-IRWIN.nc,19.0675601959229,280.371887207031,"2024-11-05T23:33:06,000",/scale/user/mtannaou/alternance/donnees_sar_changes/rcm2-sclnc-owi-cm-20241105t233306-20241105t233329-00003-xxxxx_aeqd.nc,rcm2-sclnc-owi-cm-20241105t233340-20241105t233423-00003-xxxxx.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/rcm-2/L2M/sclnc/rcm-2_sclnc/2024/310/RCM2_OK3346494_PK3348992_1_SCLNC_20241105_233342_VV_VH_GRD/rcm2-sclnc-owi-cm-20241105t233340-20241105t233423-00003-xxxxx.nc
al182024,IRWIN,rcm2-sclnc-owi-cm-20241105t233340-20241105t233423-00003-______ll_gd_GEO-IRWIN.nc,19.0675601959229,280.371887207031,"2024-11-05T23:33:40,000",/scale/user/mtannaou/alternance/donnees_sar_changes/rcm2-sclnc-owi-cm-20241105t233340-20241105t233423-00003-xxxxx_aeqd.nc,rcm2-sclnc-owi-cm-20241105t233340-20241105t233423-00003-xxxxx.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/rcm-2/L2M/sclnc/rcm-2_sclnc/2024/310/RCM2_OK3346494_PK3348992_1_SCLNC_20241105_233342_VV_VH_GRD/rcm2-sclnc-owi-cm-20241105t233340-20241105t233423-00003-xxxxx.nc
al182024,IRWIN,s1a-ew-owi-cm-20241106t234334-20241106t234437-000003-06EAB8_ll_gd_GEO-IRWIN.nc,22.7873401641846,277.216949462891,"2024-11-06T23:43:34,000",/scale/user/mtannaou/alternance/donnees_sar_changes/s1a-ew-owi-cm-20241106t234334-20241106t234437-000003-06EAB8_aeqd.nc,s1a-ew-owi-cm-20241106t234334-20241106t234437-000003-06EAB8.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/sentinel-1a/L2M/EW/S1A_EW_GRDM_1S/2024/311/S1A_EW_GRDM_1SDV_20241106T234334_20241106T234437_056441_06EAB8_05DF/s1a-ew-owi-cm-20241106t234334-20241106t234437-000003-06EAB8.nc
al182024,IRWIN,rcm2-sclna-owi-cm-20241105t111908-20241105t112023-00003-______ll_gd_GEO-IRWIN.nc,17.0959873199463,282.007568359375,"2024-11-05T11:19:08,000",/scale/user/mtannaou/alternance/donnees_sar_changes/rcm2-sclna-owi-cm-20241105t111908-20241105t112023-00003-xxxxx_aeqd.nc,rcm2-sclna-owi-cm-20241105t111908-20241105t112023-00003-xxxxx.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/rcm-2/L2M/sclna/rcm-2_sclna/2024/310/RCM2_OK3346487_PK3348375_1_SCLNA_20241105_111910_VV_VH_GRD/rcm2-sclna-owi-cm-20241105t111908-20241105t112023-00003-xxxxx.nc
al182024,IRWIN,rcm2-sc50ma-owi-cm-20241106t112631-20241106t112723-00003-______ll_gd_GEO-IRWIN.nc,20.6245841979981,278.670715332031,"2024-11-06T11:26:31,000",/scale/user/mtannaou/alternance/donnees_sar_changes/rcm2-sc50ma-owi-cm-20241106t112631-20241106t112723-00003-xxxxx_aeqd.nc,rcm2-sc50ma-owi-cm-20241106t112631-20241106t112723-00003-xxxxx.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/rcm-2/L2M/sc50ma/rcm-2_sc50ma/2024/311/RCM2_OK3347915_PK3349705_1_SC50MA_20241106_112633_HH_HV_GRD/rcm2-sc50ma-owi-cm-20241106t112631-20241106t112723-00003-xxxxx.nc
al182024,IRWIN,s1a-iw-owi-cm-20241110t000941-20241110t001035-000003-06EC79_ll_gd_GEO-IRWIN.nc,25.5123691558838,268.360565185547,"2024-11-10T00:09:41,000",/scale/user/mtannaou/alternance/donnees_sar_changes/s1a-iw-owi-cm-20241110t000941-20241110t001035-000003-06EC79_aeqd.nc,s1a-iw-owi-cm-20241110t000941-20241110t001035-000003-06EC79.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/sentinel-1a/L2M/IW/S1A_IW_GRDH_1S/2024/315/S1A_IW_GRDH_1SDV_20241110T000941_20241110T001035_056485_06EC79_6E26XADF5/s1a-iw-owi-cm-20241110t000941-20241110t001035-000003-06EC79.nc
al182024,IRWIN,rcm2-sclna-owi-cm-20241108t235824-20241109t000004-00003-______ll_gd_GEO-IRWIN.nc,24.6750411987305,270.519836425781,"2024-11-08T23:58:24,000",/scale/user/mtannaou/alternance/donnees_sar_changes/rcm2-sclna-owi-cm-20241108t235824-20241109t000004-00003-xxxxx_aeqd.nc,rcm2-sclna-owi-cm-20241108t235824-20241109t000004-00003-xxxxx.nc,/home/datawork-cersat-public/cache/public/ftp/project/sarwing/processings/grdwind+windir_2025v6v12_2v0_0v3v9_0v0v6_0v0v6_1v4v3_1v0v15_1v0v10_1v2v5_1v2v2_1v1v1_1v2v1/cmod5n_ecmwf_norecal_rs2rcmgmfv4_28052025/rcm-2/L2M/sclna/rcm-2_sclna/2024/313/RCM2_OK3350788_PK3358436_1_SCLNA_20241108_235837_VV_VH_GRD/rcm2-sclna-owi-cm-20241108t235824-20241109t000004-00003-xxxxx.nc
