annee,bassin,cyclone_numero,date_debut,date_fin,fichier
1996,SH,12,1996-02-05T18:00:00,1996-02-10T12:00:00,TCPRIMED_v01r01-final_SH121996_env_s19960205180000_e19960210120000.nc
1996,SH,13,1996-02-10T18:00:00,1996-02-20T00:00:00,TCPRIMED_v01r01-final_SH131996_env_s19960210180000_e19960220000000.nc
1996,SH,14,1996-02-11T18:00:00,1996-02-19T12:00:00,TCPRIMED_v01r01-final_SH141996_env_s19960211180000_e19960219120000.nc
1996,SH,15,1996-02-14T18:00:00,1996-02-17T12:00:00,TCPRIMED_v01r01-final_SH151996_env_s19960214180000_e19960217120000.nc
1996,SH,16,1996-02-18T00:00:00,1996-02-29T18:00:00,TCPRIMED_v01r01-final_SH161996_env_s19960218000000_e19960229180000.nc
1996,SH,17,1996-02-26T00:00:00,1996-03-04T12:00:00,TCPRIMED_v01r01-final_SH171996_env_s19960226000000_e19960304120000.nc
1996,SH,18,1996-03-06T06:00:00,1996-03-14T12:00:00,TCPRIMED_v01r01-final_SH181996_env_s19960306060000_e19960314120000.nc
1996,SH,19,1996-03-07T06:00:00,1996-03-17T00:00:00,TCPRIMED_v01r01-final_SH191996_env_s19960307060000_e19960317000000.nc
1996,SH,20,1996-03-09T06:00:00,1996-03-11T12:00:00,TCPRIMED_v01r01-final_SH201996_env_s19960309060000_e19960311120000.nc
1996,SH,21,1996-03-04T06:00:00,1996-03-14T00:00:00,TCPRIMED_v01r01-final_SH211996_env_s19960304060000_e19960314000000.nc
1996,SH,22,1996-03-17T18:00:00,1996-03-23T18:00:00,TCPRIMED_v01r01-final_SH221996_env_s19960317180000_e19960323180000.nc
1996,SH,23,1996-03-19T06:00:00,1996-03-30T06:00:00,TCPRIMED_v01r01-final_SH231996_env_s19960319060000_e19960330060000.nc
1996,SH,24,1996-04-02T00:00:00,1996-04-11T06:00:00,TCPRIMED_v01r01-final_SH241996_env_s19960402000000_e19960411060000.nc
1996,SH,25,1996-04-03T12:00:00,1996-04-12T00:00:00,TCPRIMED_v01r01-final_SH251996_env_s19960403120000_e19960412000000.nc
1996,SH,26,1996-04-06T12:00:00,1996-04-18T12:00:00,TCPRIMED_v01r01-final_SH261996_env_s19960406120000_e19960418120000.nc
1996,SH,27,1996-04-12T00:00:00,1996-04-19T18:00:00,TCPRIMED_v01r01-final_SH271996_env_s19960412000000_e19960419180000.nc
1996,SH,28,1996-04-30T18:00:00,1996-05-06T18:00:00,TCPRIMED_v01r01-final_SH281996_env_s19960430180000_e19960506180000.nc
1996,WP,1,1996-02-23T06:00:00,1996-03-02T00:00:00,TCPRIMED_v01r01-final_WP011996_env_s19960223060000_e19960302000000.nc
