min_bt,max_bt,mean_bt,std_bt,bt_r0_20,bt_r20_50,bt_r50_70,bt_r70_100,grad_inner,grad_outer,bt_asym_index,vmax,vmean,vmin,Rmax,Rvmax_90,Rvmax_80,shear_mean,shear_deep,shear_shallow,shear_gradient,shear_cos,shear_sin,cps_sym,cps_depth,warm_core_index,wind_env_mag,wind_env_dir_x,wind_env_dir_y,twind_mean,twind_max,vort_mean,vort_max,vort_integral,ratio_eye_wall,ratio_wall_bt
185.71355,288.6372,226.49498,19.638287,231.82866,228.54756,225.82854,223.62946,-3.2810974,-2.7190247,12.739544,,,,,,,6.4441457,8.913977,3.9743147,4.939662,-0.76460844,-0.35376596,2.0,0.0,0.0,6.7566977,-0.9996613,-0.02601685,1.5336355,3.0039191,5.0167173e-06,1.96581e-05,0.0001153845,1.0143563,1.2629197
188.70523,293.50192,236.34142,28.849758,202.87624,200.88591,211.46686,215.2168,-1.9903259,10.580948,13.137826,60.279999999999994,22.932153298716006,8.191649487704945,6.324555320336759,5.753325381754713,7.559714429980287,4.4042645,5.8814325,2.9270964,2.9543362,0.5443045,0.55683416,2.0,0.0,0.0,3.5396116,-0.18589163,0.98257,-0.5014273,1.3118111,-9.698988e-06,3.2967e-06,-0.00022307673,1.0099077,1.4610379
199.67422,294.29245,262.8227,25.954107,256.9343,216.64688,222.45953,247.14989,-40.287415,5.8126526,5.955108,44.619999999999926,23.681949068561178,8.398855532853885,10.198039027185569,9.69724004019215,13.333109342875623,2.1183167,2.3201303,1.916503,0.4036274,0.49320608,0.14006458,2.0,0.0,0.0,4.9534698,-0.98281616,0.1845861,-0.3500144,1.021247,3.3179347e-06,6.3492002e-06,7.63125e-05,1.1859589,1.3583969
266.9189,295.71997,288.50415,5.222816,291.10797,287.37766,286.64697,287.12088,-3.7303162,-0.7306824,3.46472,49.50000000000001,9.286992636646842,0.42000000000000004,37.73592452822641,37.73592452822641,37.73592452822641,13.331746,21.549637,5.1138554,16.435781,0.25839457,0.9200351,2.0,1.0,2.0,2.3279347,-0.06450018,0.99791723,0.28071755,2.260417,-2.3995306e-06,6.105e-07,-5.51892e-05,1.0129806,1.0290291
191.22827,290.90958,226.12157,20.518608,202.07047,204.78546,205.80899,212.00195,2.7149963,1.023529,7.832252,33.92,17.082468926553673,6.9,9.0,9.817130893879611,9.161281516514684,3.3023024,1.87988,4.724725,-2.8448448,0.95062095,-0.19460705,2.0,0.0,0.0,4.2003994,-0.17292312,0.9849351,0.5610635,2.3971531,2.97287e-07,7.2039e-06,6.8376007e-06,0.98674226,1.4205577
181.68005,295.9469,245.73558,33.059612,195.51396,201.71333,211.92653,235.37114,6.1993713,10.213196,21.338715,24.72,14.083770931730356,6.139999999999999,17.4928556845359,38.839537230245746,34.092369831206554,2.1228952,2.3205128,1.9252777,0.39523506,-0.6752968,-0.42186013,2.0,0.0,0.0,4.722162,-0.9908881,-0.13468634,1.2430716,2.5595272,-1.6456944e-07,1.77045e-05,-3.7850973e-06,0.9692664,1.4671658
189.54218,293.81042,241.92773,27.275028,225.54161,227.94083,233.0212,234.89914,2.3992157,5.080368,21.038548,27.839984576179525,17.375612658883394,6.48816959196098,34.132096331752024,26.038837070402057,27.263550150698382,6.3731866,9.106253,3.6401205,5.466132,-0.43559027,-0.88728416,2.0,0.0,0.0,4.093638,-0.6271284,0.7789156,0.20677604,3.1662931,8.387739e-07,7.0818005e-06,1.92918e-05,0.9894744,1.2889768
208.42264,292.9998,256.0677,21.053734,241.77039,250.65471,248.03638,251.34123,8.884323,-2.618332,12.900441,21.480935762803732,11.474562125463123,1.6684897017804192,48.373546489791295,82.3932454874635,85.3403278129642,2.7596188,4.215041,1.3041964,2.9108448,-0.5840799,-0.4628302,2.0,0.0,0.0,7.3148847,-0.8649688,0.50182545,-0.26399708,1.448547,-7.803784e-07,5.4945003e-06,-1.7948703e-05,0.9645555,1.1689379
190.69218,292.7272,241.89627,29.736961,208.34985,222.9965,235.0412,244.82683,14.646652,12.044693,23.493359,30.719999620369883,19.075619080770192,10.55314637004854,33.97057550292606,37.02460249210325,41.44675907764719,6.9826326,9.555659,4.409606,5.1460533,-0.43254048,-0.85167056,1.0,0.0,0.0,2.814175,-0.87928414,-0.47629702,-1.2456725,2.700536,3.801026e-06,9.645901e-06,8.74236e-05,0.9343189,1.3126986
187.12448,293.53217,242.19722,35.59184,207.6548,222.86633,231.3476,237.13754,15.211533,8.481262,28.443027,26.49994924181998,13.732260126705716,5.7851690961371505,22.67156809750927,33.5656428152296,39.56264073826129,5.298119,6.251869,4.344369,1.9075003,-0.38853425,-0.874894,2.0,0.0,0.0,3.292803,-0.68029445,-0.7329385,0.46984416,2.3629692,3.2648481e-06,8.547e-06,7.5091506e-05,0.93174595,1.3170772
