,sid,name,date,wind_speed (m/s),lon,lat,ir_path
43,sh062024,ANGGREK,2024-01-15 21:00:00,21,93.85,-9.55,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240115210000.nc
44,sh062024,ANGGREK,2024-01-16 00:00:00,21,93.9,-9.5,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240116000000.nc
45,sh062024,ANGGREK,2024-01-16 03:00:00,22,93.85,-9.5,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240116030000.nc
46,sh062024,ANGGREK,2024-01-16 06:00:00,23,93.8,-9.5,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240116060000.nc
47,sh062024,ANGGREK,2024-01-16 09:00:00,23,93.9,-9.55,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240116090000.nc
48,sh062024,ANGGREK,2024-01-16 12:00:00,23,94.0,-9.6,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240116120000.nc
49,sh062024,ANGGREK,2024-01-16 15:00:00,23,94.1,-9.6,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240116150000.nc
50,sh062024,ANGGREK,2024-01-16 18:00:00,23,94.2,-9.6,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240116180000.nc
51,sh062024,ANGGREK,2024-01-16 21:00:00,24,94.15,-9.7,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240116210000.nc
52,sh062024,ANGGREK,2024-01-17 00:00:00,26,94.1,-9.8,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240117000000.nc
53,sh062024,ANGGREK,2024-01-17 03:00:00,26,94.05,-9.95,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240117030000.nc
54,sh062024,ANGGREK,2024-01-17 06:00:00,26,94.0,-10.1,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240117060000.nc
55,sh062024,ANGGREK,2024-01-17 09:00:00,24,94.0,-10.25,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240117090000.nc
56,sh062024,ANGGREK,2024-01-17 12:00:00,23,94.0,-10.4,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240117120000.nc
57,sh062024,ANGGREK,2024-01-17 15:00:00,23,94.0,-10.65,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240117150000.nc
58,sh062024,ANGGREK,2024-01-17 18:00:00,23,94.0,-10.9,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240117180000.nc
59,sh062024,ANGGREK,2024-01-17 21:00:00,23,93.95,-11.05,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240117210000.nc
60,sh062024,ANGGREK,2024-01-18 00:00:00,23,93.9,-11.2,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240118000000.nc
61,sh062024,ANGGREK,2024-01-18 03:00:00,23,93.85,-11.4,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240118030000.nc
62,sh062024,ANGGREK,2024-01-18 06:00:00,23,93.8,-11.6,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240118060000.nc
63,sh062024,ANGGREK,2024-01-18 09:00:00,23,93.75,-11.75,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240118090000.nc
64,sh062024,ANGGREK,2024-01-18 12:00:00,23,93.7,-11.9,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240118120000.nc
